micro_name,micro_tid,drug_name,pubchem_id,smile,Pubmed
Unidentified anaerobic bacterium,29565,Sulfinpyrazone,5342,C1=CC=C(C=C1)N2C(=O)C(C(=O)N2C3=CC=CC=C3)CCS(=O)C4=CC=CC=C4,PMID: 26569070; PMID: 18927500
Unidentified anaerobic bacterium,29565,Sulindac,1548887,CC1=C(C2=C(C1=CC3=CC=C(C=C3)S(=O)C)C=CC(=C2)F)CC(=O)O,PMID: 26569070; PMID: 18927500
Clostridium sp.,1506,Daidzein,5281708,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,PMID: 26569070
anaerobic bacterium 'strain 7',78352,Daidzein,5281708,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,PMID: 26569070
Bacteroides uniformis,820,Genistein,5280961,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,PMID: 26569070
Bacteroides,816,Ginsenoside Rb1,9898279,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)O)O)O)O)C,PMID: 26569070
Bifidobacterium,1678,Ginsenoside Rb1,9898279,CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)OC5C(C(C(C(O5)CO)O)O)OC6C(C(C(C(O6)CO)O)O)O)C)C)O)C)OC7C(C(C(C(O7)COC8C(C(C(C(O8)CO)O)O)O)O)O)O)C,PMID: 26569070
Pseudocera,1256383,Hesperidin,10621,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,PMID: 26569070
Klebsiella pneumoniae,573,Lactulose,11333,C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O,PMID: 26569070
Enterococcus faecalis,1351,Lactulose,11333,C(C1C(C(C(C(O1)OC2C(OC(C2O)(CO)O)CO)O)O)O)O,PMID: 26569070
