micro_tid,micro_name
41200,Bifidobacterium sp.
649762,Blautia luti DSM14534
40520,Blautia obeum
80840,Burkholderiales
831,Butyrivibrio fibrisolvens
43305,Butyrivibrio proteoclasticus
990719,Christensenellaceae
186801,Clostridia
186802,Clostridiales
135622,Alteromonadales
1496,Clostridioides difficile
208479,Enterocloster bolteae
78352,anaerobic bacterium 'strain 7'
84030,Lacrimispora saccharolytica
1506,Clostridium sp.
84107,Coriobacteriaceae
84999,Coriobacteriales
1872530,Anaerostipes sp.
1929886,Eggerthella sp.
1547,Erysipelatoclostridium ramosum
128827,Erysipelotrichaceae
142586,Eubacterium sp.
1239,Firmicutes
32066,Fusobacteria
1236,Gammaproteobacteria
91061,Bacilli
170689,Gram-negative bacterium B1G-1A
2049029,Holdemania sp.
577,Raoultella terrigena
186803,Lachnospiraceae
186826,Lactobacillales
424721,Bacterium DZY-HS11
1597,Lactobacillus paracasei
815,Bacteroidaceae
1591,Lactobacillus sp.
341220,Lactonifactor longoviformis
1643,Listeria welshimeri
171549,Bacteroidales
31969,Mollicutes
248038,Mucispirillum
1760,Actinobacteria
1945593,Oscillibacter sp.
119852,Oscillospira
85831,Bacteroides acidifaciens
171551,Porphyromonadaceae
537011,Pretovella copri DSM18205
171552,Prevotellaceae
1224,Proteobacteria
1256383,Pseudocera
135621,Pseudomonadaceae
294,Pseudomonas fluorescens
171550,Rikenellaceae
541000,Ruminococcaceae
41978,Ruminococcus sp.
99287,Salmonella typhimurium LT2
498718,Slackia equolifaciens
572010,Slackia isoflavoniconvertens
1300,Streptococcaceae
211046,Styrax aureus
1981025,Sutterella sp.
29565,Unidentified anaerobic bacterium
74201,Verrucomicrobia
340101,Victivallis vadensis ATCC BAA-548
29523,Bacteroides sp.
311784,Bacteroides WH2 WH2
976,Bacteroidetes
85004,Bifidobacteriales
434,Acetobacter
204432,Acidobacteria
12916,Acidovorax
1375,Aerococcus
642,Aeromonas
416916,Aggregatibacter
506,Alcaligenaceae
507,Alcaligenes
626932,Alistipes indistinctus
28211,Alphaproteobacteria
29331,Amphibacillus
207244,Anaerostipes
1663,Arthrobacter
292480,Atopostipes
1385,Bacillales
46506,Bacteroides stercoris
200643,Bacteroidia
78346,Bifidobacterium ruminantium
41275,Brevundimonas
830,Butyrivibrio
84646,Candidatus Odyssella
1331051,Candidatus Saccharimonas
1016,Capnocytophaga
424536,Catabacteriaceae
204458,Caulobacterales
180162,Cetobacterium
188913,Cetobacterium somerae
200795,Chloroﬂexi
1046,Chromatiaceae
59732,Chryseobacterium
544,Citrobacter
31979,Clostridiaceae
538999,Clostridiales incertae sedis
69824,Clostridium cocleatum
283,Comamonas
1348911,Coprobacter
84998,Coriobacteriia
1117,Cyanobacteria
200930,Deferribacteres
51514,Dehalobacterium
28221,Deltaproteobacteria
194924,Desulfovibrionaceae
39948,Dialister
580024,Enterorhabdus
469008,Escherichia coli BL21(DE3)
186806,Eubacteriaceae
97253,Eubacterium plexicaudatum
117743,Flavobacteria
848,Fusobacterium
1378,Gemella
539738,Gemellaceae
219685,Gemmatimonadetes
1196095,Gilliamella apicola
72293,Helicobacteraceae
1573535,Holdemanella
61170,Holdemania
81,Hyphomicrobium
1392389,Intestinimonas
227979,Jeotgalicoccus
1506553,Lachnoclostridium
33958,Lactobacillaceae
1605,Lactobacillus animalis
1091138,Lawsonia
445,Legionella
33882,Microbacterium
13613,microbiota
1268,Micrococcaceae
90690,Morganella
248039,Mucispirillum schaedleri
481,Neisseriaceae
203693,Nitrospira
133925,Olsenella
1100891,Paenalcaligenes
186822,Paenibacillaceae
387661,Parabacteroides johnsonii
577309,Paraprevotella
186807,Peptococcaceae
1257,Peptostreptococcus
118,Planctomyces
836,Porphyromonas
210425,Proteus
43263,Pseudomonas alcaligenes
41295,Rhodospirillaceae
301302,Roseburia faecis
95818,Saccharibacteria
590,Salmonella
1196083,Snodgrassella alvi
13687,Sphingomonas
203692,Spirochaetes
1569,Sporosarcina
90964,Staphylococcaceae
995019,Sutterellaceae
195950,Tannerella
544448,Tenericutes
82802,Trichococcus
2810281,Turicibacteraceae
29465,Veillonella
31977,Veillonellaceae
203557,Verrucomicrobiaceae
662,Vibrio
216816,Bifidobacterium longum
1682,Bifidobacterium longum subsp. infantis
537937,Bifidobacterium longum subsp. Infantis CCUG52486
35832,Bilophila
572511,Blautia
537007,Blautia hansenii DSM20583
33035,Blautia producta
174708,Allobaculum
580596,Butyricicoccus
574697,Butyricimonas
194,Campylobacter
5476,Candida albicans
1283313,Alloprevotella
1898207,Clostridiales bacterium
1485,Clostridium
518636,Clostridium asparagiforme DSM15981
411902,Clostridium bolteae ATCCBAA-613
1492,Clostridium butyricum
699035,Clostridium difficile 120
566550,Clostridium hathewayi DSM13479
1535,Clostridium leptum
1502,Clostridium perfringens
445974,Clostridium ramosum DSM1402
29347,Clostridium scindens
411468,Clostridium scindens ATCC35704
