drug_name,pubchem_id,smile
(2E)-1-[4-(4-nitrophenyl)piperazin-1-yl]-3-phenylprop-2-en-1-one,5835530,C1CN(CCN1C2=CC=C(C=C2)[N+](=O)[O-])C(=O)C=CC3=CC=CC=C3
"(2E)-N-(6-nitro-1,3-benzothiazol-2-yl)-3-phenylprop-2-enamide",884448,C1=CC=C(C=C1)C=CC(=O)NC2=NC3=C(S2)C=C(C=C3)[N+](=O)[O-]
(2R)-2-amino-3-phenylmethanesulfinylpropanoic acid,335443,C1=CC=C(C=C1)CS(=O)CC(C(=O)O)N
(2R)-2-amino-6-acetamidohexanoic acid,6994067,CC(=O)NCCCCC(C(=O)O)N
"(2S)-2-amino-3-(1,3-thiazol-4-yl)propanoic acid",2761495,C1=C(N=CS1)CC(C(=O)O)N
(2S)-2-amino-3-(tert-butylsulfanyl)propanoic acid,6951060,CC(C)(C)SCC(C(=O)O)N
(2S)-2-amino-4-bromopent-4-enoic acid,2762282,C=C(CC(C(=O)O)N)Br
(5Z)-4-Bromo-5-(bromomethylene)-3-butyl-2(5H)-furanone,9839657,CCCCC1=C(C(=CBr)OC1=O)Br
(E)-3-Decen-2-one,5363233,CCCCCCC=CC(=O)C
(E)-Chalcone,637760,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2
"(R)-2,3-Diaminopropanoic acid",638152,C(C(C(=O)O)N)N
(R)-2-amino-3-cyclohexylpropanoic acid,736026,C1CCC(CC1)CC(C(=O)O)N
(R)-2-amino-3-cyclopentylpropanoic acid,6993046,C1CCC(C1)CC(C(=O)O)N
(Z)-4-bromo-5-(bromomethylene)-3-ethyl-2(5H)-furanone,12051732,CCC1=C(C(=CBr)OC1=O)Br
(Z)-4-bromo-5-(bromomethylene)-3-methylfuran-2(5H)-one,9900052,CC1=C(C(=CBr)OC1=O)Br
"(Z)-5-decylidenethiazolidine-2,4-dione",46196601,CCCCCCCCCC=C1C(=O)NC(=O)S1
"(Z)-5-octylidenethiazolidine-2,4-dione",46220260,CCCCCCCC=C1C(=O)NC(=O)S1
"1-(3,5-dinitrophenyl)ethan-1-one",258569,CC(=O)C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-]
1-(4-amino-2-hydroxyphenyl)ethan-1-one,459296,CC(=O)C1=C(C=C(C=C1)N)O
1-(6-aminopyridin-3-yl)ethan-1-one,21113396,CC(=O)C1=CN=C(C=C1)N
1-(pyrazin-2-yl)ethan-1-one,30914,CC(=O)C1=NC=CN=C1
1-(pyridin-4-yl)ethan-1-one,14282,CC(=O)C1=CC=NC=C1
12-methyltetradecanoic acid,21672,CCC(C)CCCCCCCCCCC(=O)O
13-methyltetradecanoic acid,151014,CC(C)CCCCCCCCCCCC(=O)O
14-alpha-lipoyl andrographolide,25154345,CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)OC(=O)CCCCC4CCSS4)(C)CO)O
1-methanesulfonyl-4-methylbenzene,18521,CC1=CC=C(C=C1)S(=O)(=O)C
2-(2-Thienylsulfonyl)ethanethioamide,2778709,C1=CSC(=C1)S(=O)(=O)CC(=S)N
2(5H)-furanone,10341,C1C=CC(=O)O1
2-(Aminomethyl)-L-phenylalanine,2762275,C1=CC=C(C(=C1)CC(C(=O)O)N)CN
2-(Trifluoromethyl)-D-phenylalanine,7005100,C1=CC=C(C(=C1)CC(C(=O)O)N)C(F)(F)F
"2,3,4,5,6-Pentafluoro-L-phenylalanine",2761496,C(C1=C(C(=C(C(=C1F)F)F)F)F)C(C(=O)O)N
"2,3-Dehydrosilybin",5467200,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4=C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O
"2,3-dihydroxybenzoic acid",19,C1=CC(=C(C(=C1)O)O)C(=O)O
"2,4-Dimethylphenylalanine",2762260,CC1=CC(=C(C=C1)CC(C(=O)O)N)C
2-amino-3-(3-chlorophenyl)propanoic acid,85680,C1=CC(=CC(=C1)Cl)CC(C(=O)O)N
2-amino-3-(3-nitrophenyl)propanoic acid,228814,C1=CC(=CC(=C1)[N+](=O)[O-])CC(C(=O)O)N
2-amino-3-(propane-1-sulfinyl)propanoic acid,350625,CCCS(=O)CC(C(=O)O)N
2-amino-4-chlorobenzoic acid,66646,C1=CC(=C(C=C1Cl)N)C(=O)O
