micro_name,micro_tid,drug_name,pubchem_id,smile,Pubmed
Candida albicans,5476,(2E)-1-[4-(4-nitrophenyl)piperazin-1-yl]-3-phenylprop-2-en-1-one,5835530,C1CN(CCN1C2=CC=C(C=C2)[N+](=O)[O-])C(=O)C=CC3=CC=CC=C3,27838185
Candida albicans,5476,"(2E)-N-(6-nitro-1,3-benzothiazol-2-yl)-3-phenylprop-2-enamide",884448,C1=CC=C(C=C1)C=CC(=O)NC2=NC3=C(S2)C=C(C=C3)[N+](=O)[O-],27838185
Actinomyces oris,544580,(2R)-2-amino-3-phenylmethanesulfinylpropanoic acid,335443,C1=CC=C(C=C1)CS(=O)CC(C(=O)O)N,25081571
Staphylococcus aureus,1280,(2R)-2-amino-6-acetamidohexanoic acid,6994067,CC(=O)NCCCCC(C(=O)O)N,25658642
Staphylococcus aureus,1280,"(2S)-2-amino-3-(1,3-thiazol-4-yl)propanoic acid",2761495,C1=C(N=CS1)CC(C(=O)O)N,25658642
Staphylococcus aureus,1280,(2S)-2-amino-3-(tert-butylsulfanyl)propanoic acid,6951060,CC(C)(C)SCC(C(=O)O)N,25658642
Staphylococcus aureus,1280,(2S)-2-amino-4-bromopent-4-enoic acid,2762282,C=C(CC(C(=O)O)N)Br,25658642
Escherichia coli,562,(5Z)-4-Bromo-5-(bromomethylene)-3-butyl-2(5H)-furanone,9839657,CCCCC1=C(C(=CBr)OC1=O)Br,15470704
Vibrio cholerae,666,(E)-3-Decen-2-one,5363233,CCCCCCC=CC(=O)C,21249192
Vibrio harveyi,669,(E)-3-Decen-2-one,5363233,CCCCCCC=CC(=O)C,21249192
Haemophilus influenzae,727,(E)-Chalcone,637760,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2,25154700
Staphylococcus aureus,1280,"(R)-2,3-Diaminopropanoic acid",638152,C(C(C(=O)O)N)N,25658642
Staphylococcus aureus,1280,(R)-2-amino-3-cyclohexylpropanoic acid,736026,C1CCC(CC1)CC(C(=O)O)N,25658642
Staphylococcus aureus,1280,(R)-2-amino-3-cyclopentylpropanoic acid,6993046,C1CCC(C1)CC(C(=O)O)N,25658642
Salmonella enterica,28901,(Z)-4-bromo-5-(bromomethylene)-3-ethyl-2(5H)-furanone,12051732,CCC1=C(C(=CBr)OC1=O)Br,20580562
Pseudomonas aeruginosa,287,(Z)-4-bromo-5-(bromomethylene)-3-methylfuran-2(5H)-one,9900052,CC1=C(C(=CBr)OC1=O)Br,23029239
Propionibacterium acnes,1747,"(Z)-5-decylidenethiazolidine-2,4-dione",46196601,CCCCCCCCCC=C1C(=O)NC(=O)S1,24251377
Propionibacterium acnes,1747,"(Z)-5-octylidenethiazolidine-2,4-dione",46220260,CCCCCCCC=C1C(=O)NC(=O)S1,24251377
Pseudomonas aeruginosa,287,"1-(3,5-dinitrophenyl)ethan-1-one",258569,CC(=O)C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],19855933
Pseudomonas aeruginosa,287,1-(4-amino-2-hydroxyphenyl)ethan-1-one,459296,CC(=O)C1=C(C=C(C=C1)N)O,19855933
Pseudomonas aeruginosa,287,1-(6-aminopyridin-3-yl)ethan-1-one,21113396,CC(=O)C1=CN=C(C=C1)N,19855933
Pseudomonas aeruginosa,287,1-(pyrazin-2-yl)ethan-1-one,30914,CC(=O)C1=NC=CN=C1,19855933
Pseudomonas aeruginosa,287,1-(pyridin-4-yl)ethan-1-one,14282,CC(=O)C1=CC=NC=C1,19855933
Pseudomonas aeruginosa,287,12-methyltetradecanoic acid,21672,CCC(C)CCCCCCCCCCC(=O)O,18318842
Pseudomonas aeruginosa,287,13-methyltetradecanoic acid,151014,CC(C)CCCCCCCCCCCC(=O)O,18318842
Pseudomonas aeruginosa,287,14-alpha-lipoyl andrographolide,25154345,CC12CCC(C(C1CCC(=C)C2CC=C3C(COC3=O)OC(=O)CCCCC4CCSS4)(C)CO)O,19152987
Pseudomonas aeruginosa,287,1-methanesulfonyl-4-methylbenzene,18521,CC1=CC=C(C=C1)S(=O)(=O)C,19855933
Vibrio anguillarum,55601,2-(2-Thienylsulfonyl)ethanethioamide,2778709,C1=CSC(=C1)S(=O)(=O)CC(=S)N,19778962
Vibrio vulnificus,672,2-(2-Thienylsulfonyl)ethanethioamide,2778709,C1=CSC(=C1)S(=O)(=O)CC(=S)N,19778962
Aeromonas hydrophila,644,2(5H)-furanone,10341,C1C=CC(=O)O1,20140298
Hafnia alvei,569,2(5H)-furanone,10341,C1C=CC(=O)O1,20140298
Staphylococcus aureus,1280,2-(Aminomethyl)-L-phenylalanine,2762275,C1=CC=C(C(=C1)CC(C(=O)O)N)CN,25658642
Staphylococcus aureus,1280,2-(Trifluoromethyl)-D-phenylalanine,7005100,C1=CC=C(C(=C1)CC(C(=O)O)N)C(F)(F)F,25658642
Staphylococcus aureus,1280,"2,3,4,5,6-Pentafluoro-L-phenylalanine",2761496,C(C1=C(C(=C(C(=C1F)F)F)F)F)C(C(=O)O)N,25658642
Staphylococcus aureus,1280,"2,3-Dehydrosilybin",5467200,COC1=C(C=CC(=C1)C2C(OC3=C(O2)C=C(C=C3)C4=C(C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,26273725
Staphylococcus aureus,1280,"2,3-dihydroxybenzoic acid",19,C1=CC(=C(C(=C1)O)O)C(=O)O,25319566
Staphylococcus aureus,1280,"2,4-Dimethylphenylalanine",2762260,CC1=CC(=C(C=C1)CC(C(=O)O)N)C,25658642
Staphylococcus aureus,1280,2-amino-3-(3-chlorophenyl)propanoic acid,85680,C1=CC(=CC(=C1)Cl)CC(C(=O)O)N,25658642
Staphylococcus aureus,1280,2-amino-3-(3-nitrophenyl)propanoic acid,228814,C1=CC(=CC(=C1)[N+](=O)[O-])CC(C(=O)O)N,25658642
Streptococcus mutans,1309,2-amino-3-(propane-1-sulfinyl)propanoic acid,350625,CCCS(=O)CC(C(=O)O)N,25081571
Burkholderia cenocepacia,95486,2-amino-4-chlorobenzoic acid,66646,C1=CC(=C(C=C1Cl)N)C(=O)O,19146953
Burkholderia multivorans,87883,2-amino-4-chlorobenzoic acid,66646,C1=CC(=C(C=C1Cl)N)C(=O)O,19146953
Staphylococcus aureus,1280,2-amino-5-methoxy-5-oxopentanoic acid,73913,COC(=O)CCC(C(=O)O)N,25658642
Burkholderia cenocepacia,95486,2-amino-6-chlorobenzoic acid,75071,C1=CC(=C(C(=C1)Cl)C(=O)O)N,19146953
Burkholderia multivorans,87883,2-amino-6-chlorobenzoic acid,75071,C1=CC(=C(C(=C1)Cl)C(=O)O)N,19146953
Burkholderia cenocepacia,95486,2-amino-6-fluorobenzoic acid,521142,C1=CC(=C(C(=C1)F)C(=O)O)N,19146953
Burkholderia multivorans,87883,2-amino-6-fluorobenzoic acid,521142,C1=CC(=C(C(=C1)F)C(=O)O)N,19146953
Pseudomonas aeruginosa,287,2-bromodecanoic acid,98310,CCCCCCCCC(C(=O)O)Br,24023921
Pseudomonas aeruginosa,287,2-bromohexanoic acid,12013,CCCCC(C(=O)O)Br,24023921
Pseudomonas aeruginosa,287,2-bromooctanoic acid,552003,CCCCCCC(C(=O)O)Br,24023921
Haemophilus influenzae,727,2-Hydroxychalcone,5367146,C1=CC=C(C=C1)C(=O)C=CC2=CC=CC=C2O,25154700
Escherichia coli,562,2-Methoxy-4-propylphenol,17739,CCCC1=CC(=C(C=C1)O)OC,27808174
Staphylococcus aureus,1280,2-Methoxy-D-Phenylalanine,10631698,COC1=CC=CC=C1CC(C(=O)O)N,25658642
Escherichia coli,562,2-Methoxyhydroquinone,69988,COC1=C(C=CC(=C1)O)O,27808174
Pseudomonas aeruginosa,287,2-oxindole,321710,C1C2=CC=CC=C2NC1=O,22251040
Staphylococcus aureus,1280,3-(1-Naphthyl)-D-Alanine,6950505,C1=CC=C2C(=C1)C=CC=C2CC(C(=O)O)N,25658642
Staphylococcus aureus,1280,3-(2-Naphthyl)alanine,250399,C1=CC=C2C=C(C=CC2=C1)CC(C(=O)O)N,25658642
Staphylococcus aureus,1280,3-(2-Naphthyl)-D-alanine,2733661,C1=CC=C2C=C(C=CC2=C1)CC(C(=O)O)N,25658642
Staphylococcus aureus,1280,3-(2-Thienyl)alanine,91444,C1=CSC(=C1)CC(C(=O)O)N,25658642
Staphylococcus aureus,1280,3-(2-Thienyl)-D-alanine,7111750,C1=CSC(=C1)CC(C(=O)O)N,25658642
Enterococcus faecalis,1351,3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,3821570,CCOC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)C3=CC(=CC=C3)F)O,19651903
Enterococcus faecium,1352,3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,3821570,CCOC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)C3=CC(=CC=C3)F)O,19651903
Enterococcus gallinarum,1353,3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,3821570,CCOC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)C3=CC(=CC=C3)F)O,19651903
Escherichia coli,562,3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,3821570,CCOC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)C3=CC(=CC=C3)F)O,19651903
Pseudomonas aeruginosa,287,3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,3821570,CCOC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)C3=CC(=CC=C3)F)O,19651903
Staphylococcus aureus,1280,3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,3821570,CCOC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)C3=CC(=CC=C3)F)O,19651903
Staphylococcus epidermidis,1282,3-(3-fluorophenyl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,3821570,CCOC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)C3=CC(=CC=C3)F)O,19651903
Staphylococcus aureus,1280,3-(3-Pyridinyl)alanine,314100,C1=CC(=CN=C1)CC(C(=O)O)N,25658642
Enterococcus faecalis,1351,3-(pyridin-3-yl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,72036004,CCOC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)C3=CN=CC=C3)O,19651903
Enterococcus faecium,1352,3-(pyridin-3-yl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,72036004,CCOC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)C3=CN=CC=C3)O,19651903
Enterococcus gallinarum,1353,3-(pyridin-3-yl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,72036004,CCOC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)C3=CN=CC=C3)O,19651903
Escherichia coli,562,3-(pyridin-3-yl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,72036004,CCOC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)C3=CN=CC=C3)O,19651903
Pseudomonas aeruginosa,287,3-(pyridin-3-yl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,72036004,CCOC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)C3=CN=CC=C3)O,19651903
Staphylococcus aureus,1280,3-(pyridin-3-yl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,72036004,CCOC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)C3=CN=CC=C3)O,19651903
Staphylococcus epidermidis,1282,3-(pyridin-3-yl)-5-(3-ethoxy-4-hydroxybenzylidene)-2-thioxothiazolidin-4-one,72036004,CCOC1=C(C=CC(=C1)C=C2C(=O)N(C(=S)S2)C3=CN=CC=C3)O,19651903
Staphylococcus aureus,1280,3-(Trifluoromethyl)phenylalanine,2777602,C1=CC(=CC(=C1)C(F)(F)F)CC(C(=O)O)N,25658642
Bacillus subtilis,1423,"3,4-Dichloro-5-[(1,3-dichloropropan-2-yloxy)]-2(5H)-furanone",122208470,C(C(CCl)OC1C(=C(C(=O)O1)Cl)Cl)Cl,25335695
Vibrio cholerae,666,"3,4-Dichloro-cinnamaldehyde",13186065,C1=CC(=C(C=C1C=CC=O)Cl)Cl,21249192
Vibrio harveyi,669,"3,4-Dichloro-cinnamaldehyde",13186065,C1=CC(=C(C=C1C=CC=O)Cl)Cl,21249192
Haemophilus influenzae,727,"3,4-Dimethoxychalcone",5354494,COC1=C(C=C(C=C1)C=CC(=O)C2=CC=CC=C2)OC,25154700
Staphylococcus aureus,1280,"3,5-Diiodotyrosine",9305,C1=C(C=C(C(=C1I)O)I)CC(C(=O)O)N,25658642
Pseudomonas aeruginosa,287,"3,5-dimethylaniline",7949,CC1=CC(=CC(=C1)N)C,25537269
Streptococcus mutans,1309,3-[(prop-2-ene-1-sulfinyl)sulfanyl]prop-1-ene,65036,C=CCSS(=O)CC=C,25081571
Staphylococcus aureus,1280,3-Chlorotyrosine,110992,C1=CC(=C(C=C1CC(C(=O)O)N)Cl)O,25658642
Pseudomonas aeruginosa,287,3-fluoroaniline,9742,C1=CC(=CC(=C1)F)N,25537269
Staphylococcus aureus,1280,3-Fluoro-DL-phenylalanine,9976,C1=CC(=CC(=C1)F)CC(C(=O)O)N,25658642
